Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma/LOD,Ag CPS/uA,As,As 2-Sigma/LOD,As CPS/uA,Au,Au 2-Sigma/LOD,Au CPS/uA,Bal,Bal 2-Sigma/LOD,Bi,Bi 2-Sigma/LOD,Bi CPS/uA,Cd,Cd 2-Sigma/LOD,Cd CPS/uA,Co,Co 2-Sigma/LOD,Co CPS/uA,Cr,Cr 2-Sigma/LOD,Cr CPS/uA,Cu,Cu 2-Sigma/LOD,Cu CPS/uA,Fe,Fe 2-Sigma/LOD,Fe CPS/uA,Hf,Hf 2-Sigma/LOD,Hf CPS/uA,Hg,Hg 2-Sigma/LOD,Hg CPS/uA,Mn,Mn 2-Sigma/LOD,Mn CPS/uA,Mo,Mo 2-Sigma/LOD,Mo CPS/uA,Nb,Nb 2-Sigma/LOD,Nb CPS/uA,Ni,Ni 2-Sigma/LOD,Ni CPS/uA,Pb,Pb 2-Sigma/LOD,Pb CPS/uA,Pd,Pd 2-Sigma/LOD,Pd CPS/uA,Rb,Rb 2-Sigma/LOD,Rb CPS/uA,Re,Re 2-Sigma/LOD,Re CPS/uA,Sb,Sb 2-Sigma/LOD,Sb CPS/uA,Se,Se 2-Sigma/LOD,Se CPS/uA,Sn,Sn 2-Sigma/LOD,Sn CPS/uA,Sr,Sr 2-Sigma/LOD,Sr CPS/uA,Ta,Ta 2-Sigma/LOD,Ta CPS/uA,Th,Th 2-Sigma/LOD,Th CPS/uA,Ti,Ti 2-Sigma/LOD,Ti CPS/uA,U,U 2-Sigma/LOD,U CPS/uA,V,V 2-Sigma/LOD,V CPS/uA,W,W 2-Sigma/LOD,W CPS/uA,Y,Y 2-Sigma/LOD,Y CPS/uA,Zn,Zn 2-Sigma/LOD,Zn CPS/uA,Zr,Zr 2-Sigma/LOD,Zr CPS/uA,Al,Al 2-Sigma/LOD,Al CPS/uA,Ba,Ba 2-Sigma/LOD,Ba CPS/uA,Ca,Ca 2-Sigma/LOD,Ca CPS/uA,Cl,Cl 2-Sigma/LOD,Cl CPS/uA,K,K 2-Sigma/LOD,K CPS/uA,Mg,Mg 2-Sigma/LOD,Mg CPS/uA,P,P 2-Sigma/LOD,P CPS/uA,S,S 2-Sigma/LOD,S CPS/uA,Si,Si 2-Sigma/LOD,Si CPS/uA,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
17,Mining,120.42,30.07,30.18,30.11,30.06,"Thu Apr 2, 2026 - 12:59:19",User,1.5,ppm,,,,,,Mining,1.4138 , 0.7166,0.7208,<LOD,1.0615,0.2389,<LOD,2.2976,0.1012,703152.3750 , 2628.1763,<LOD,1.0048,0.1336,5.7243 , 1.1344,1.4747,<LOD,41.2096,11.1138,67.9097 , 3.9636,2.7346,<LOD,3.1847,0.3262,22640.1445 , 95.5072,69.8761,<LOD,0.0000,0.0000,<LOD,2.2562,0.2555,425.4837 , 23.5128,1.4586,<LOD,0.8134,5.1544,<LOD,0.6780,3.3449,<LOD,5.7667,0.2855,<LOD,1.0833,0.3316,2.1552 , 0.6786,0.5807,21.5941 , 0.7770,1.6350,<LOD,0.0000,0.0000,<LOD,4.2297,3.9312,<LOD,0.6483,0.2117,<LOD,2.8928,2.9324,160.2179 , 1.0125,13.1999,<LOD,0.0000,0.0000,<LOD,1.3473,0.2897,4012.5403 , 30.0132,17.5124,<LOD,1.0956,0.5225,111.9265 , 8.7966,3.1287,<LOD,5.6493,0.2256,6.7150 , 0.5171,2.3200,21.2029 , 2.0265,0.5709,53.7984 , 0.8186,9.8400,66573.5000 , 997.9373,1.4676,<LOD,20.7127,11.4697,27280.5078 , 159.7111,43.3314,<LOD,30.2031,0.6912,4774.1289 , 67.6152,4.1237,9249.2832 , 1994.7714,0.0497,397.3353 , 78.8422,0.1785,1891.1385 , 35.7001,1.0795,159150.9219 , 473.8698,16.8886,5,472.700012,39.001934,-122.663216,10.000000,529162.062500,4317045.000000,
18,Mining,120.08,30.05,30.13,30.10,29.80,"Thu Apr 2, 2026 - 13:02:13",User,1.5,ppm,,,,,,Mining,<LOD,2.2024,0.6759,<LOD,1.3664,0.2428,<LOD,2.8114,0.0941,667965.1875 , 3639.6562,<LOD,1.3147,0.1415,<LOD,2.9296,1.2842,<LOD,49.6476,10.4643,81.8640 , 4.7527,2.5310,4.8451 , 2.7558,0.3446,27067.3164 , 112.4702,65.8610,<LOD,0.0000,0.0000,3.0006 , 1.9010,0.2590,552.0517 , 28.5384,1.4020,<LOD,0.9614,4.3969,<LOD,0.7862,2.7385,<LOD,7.2907,0.2966,4.7672 , 0.9376,0.3058,<LOD,1.8396,0.5049,30.0531 , 0.9995,1.6864,<LOD,0.0000,0.0000,<LOD,3.8389,3.5573,<LOD,0.7680,0.1813,<LOD,3.0751,2.7501,232.9283 , 1.3580,14.5455,<LOD,0.0000,0.0000,1.6278 , 0.7156,0.2943,4595.5776 , 35.3545,15.8300,<LOD,1.3807,0.5095,128.4624 , 10.4246,2.8282,<LOD,6.8129,0.2043,12.1750 , 0.6549,2.2953,33.9125 , 2.5664,0.5720,85.2620 , 1.0928,10.7852,62410.4414 , 1324.7048,1.3793,94.6534 , 17.8701,12.1852,29967.2383 , 182.7100,37.9557,<LOD,39.3517,0.7217,5228.2681 , 78.5054,3.6626,11543.9014 , 2668.2217,0.0526,544.6328 , 99.2596,0.1767,3214.1462 , 50.9121,1.3640,186197.7344 , 566.2924,16.1872,5,454.000000,39.001347,-122.663063,10.000000,529175.250000,4316980.000000,
19,Mining,120.40,30.18,30.03,30.11,30.08,"Thu Apr 2, 2026 - 13:05:30",User,1.5,ppm,,,,,,Mining,<LOD,2.0382,0.6439,<LOD,1.3458,0.2122,<LOD,3.1625,0.1122,663921.5000 , 3903.6360,<LOD,1.2812,0.1262,<LOD,2.1499,1.1994,<LOD,49.1826,9.5857,88.6367 , 4.7056,2.4784,7.1609 , 2.8218,0.3396,26538.3359 , 110.8411,60.8568,<LOD,0.0000,0.0000,<LOD,2.7594,0.2210,547.5547 , 28.6094,1.3174,<LOD,0.9626,4.1406,<LOD,0.7968,2.6544,<LOD,7.0280,0.2513,4.9198 , 0.9499,0.2943,<LOD,1.2383,0.4416,29.9226 , 0.9991,1.5888,<LOD,0.0000,0.0000,<LOD,3.9732,3.5298,<LOD,0.8611,0.2155,<LOD,3.9952,2.7052,228.9517 , 1.3481,13.5157,<LOD,0.0000,0.0000,1.4211 , 0.6999,0.2656,4514.5264 , 34.2886,14.6896,<LOD,1.3665,0.4724,127.4174 , 10.1041,2.6405,<LOD,7.0115,0.2038,12.4312 , 0.6591,2.1871,31.9238 , 2.5577,0.5332,89.2805 , 1.1072,10.4340,59819.8516 , 1373.9177,1.3234,93.0492 , 18.2926,11.6723,29968.3574 , 177.6751,35.8166,<LOD,40.4706,0.7228,5156.7334 , 76.1784,3.4235,15061.2559 , 2858.4277,0.0576,500.5313 , 98.7561,0.1643,3325.8479 , 51.6655,1.3306,189930.3594 , 568.1790,15.5990,,,,,,,,
20,Mining,120.55,30.02,30.29,30.13,30.11,"Thu Apr 2, 2026 - 13:47:57",User,1.5,ppm,,,,,,Mining,<LOD,1.4805,0.5966,<LOD,1.8365,0.3819,<LOD,3.3515,0.1121,382784.8125 , 6975.4893,<LOD,1.5255,0.1605,<LOD,2.2854,1.1243,<LOD,55.6389,11.5195,119.2672 , 6.0536,3.1168,4.5490 , 2.7791,0.2964,32516.4883 , 179.9192,72.9747,<LOD,0.0000,0.0000,5.5106 , 2.0487,0.2533,503.2321 , 28.6189,1.2347,<LOD,1.4272,4.3676,5.4907 , 0.5840,2.7473,<LOD,7.9786,0.2900,17.5262 , 1.2309,0.4424,<LOD,1.3856,0.4712,37.2306 , 1.1572,1.8514,<LOD,0.0000,0.0000,<LOD,4.3676,3.5182,<LOD,0.8968,0.2072,16.8810 , 2.4354,3.1342,302.0042 , 1.8368,16.7786,<LOD,0.0000,0.0000,<LOD,1.5976,0.2957,6686.9204 , 52.0476,21.5660,2.9274 , 1.0517,0.5548,158.8299 , 13.5400,3.6768,<LOD,7.2751,0.1966,13.6898 , 0.7056,2.1860,28.6091 , 2.5533,0.4770,121.2219 , 1.3647,12.6645,140521.2188 , 2678.9434,3.0155,466.0988 , 22.2931,16.6046,39772.8633 , 255.3672,48.2354,<LOD,48.1446,0.8494,9334.7158 , 111.6868,6.0162,52417.2891 , 4466.2061,0.1279,745.7083 , 123.9636,0.2243,1418.3828 , 42.3061,0.7259,331998.5625 , 858.0330,31.8471,6,411.700012,39.001709,-122.662003,10.000000,529267.062500,4317020.500000,
21,Mining,120.34,30.16,30.01,30.09,28.58,"Thu Apr 2, 2026 - 13:50:31",User,1.5,ppm,,,,,,Mining,<LOD,1.5022,0.6210,<LOD,1.6305,0.2737,<LOD,3.3180,0.1031,378258.8438 , 7128.9390,<LOD,1.4800,0.1414,<LOD,2.2767,1.1261,<LOD,60.7833,13.3379,125.4488 , 6.5039,3.3419,10.7318 , 3.0041,0.3267,36634.3320 , 203.9566,83.4275,<LOD,0.0000,0.0000,<LOD,3.1210,0.2211,447.5728 , 28.4189,1.1876,<LOD,1.2997,4.3504,6.6514 , 0.6143,2.8590,<LOD,8.3090,0.2752,9.5137 , 1.1202,0.3427,<LOD,1.3854,0.4750,37.4101 , 1.1990,1.8633,<LOD,0.0000,0.0000,<LOD,4.3577,3.5537,<LOD,0.9060,0.1984,14.6360 , 2.3995,3.0513,292.0887 , 1.8650,16.1739,<LOD,0.0000,0.0000,3.8646 , 0.8361,0.3262,6664.5161 , 54.4154,21.8483,4.2091 , 1.0868,0.5593,174.9093 , 14.3422,3.8173,<LOD,12.8590,0.2236,15.6878 , 0.7431,2.2757,29.9396 , 2.6649,0.4889,122.3682 , 1.4122,12.6105,142644.7344 , 2770.0520,3.0601,504.4879 , 22.2842,16.7808,40667.6445 , 270.6178,50.2111,<LOD,49.2811,0.8398,9326.8564 , 117.0573,6.1537,50880.2539 , 4621.9570,0.1254,982.9896 , 137.1635,0.2654,1194.0864 , 41.5034,0.6556,330946.1875 , 891.1252,32.3491,6,412.200012,39.001770,-122.661972,10.000000,529270.062500,4317027.500000,
22,Mining,120.16,30.03,30.07,30.00,27.35,"Thu Apr 2, 2026 - 13:53:00",User,1.5,ppm,,,,,,Mining,<LOD,1.4760,0.6315,<LOD,1.5579,0.2632,<LOD,3.0262,0.0889,386603.6875 , 7295.2153,<LOD,1.4785,0.1465,<LOD,2.1892,1.0881,<LOD,57.5142,11.6516,130.7751 , 6.4612,3.2960,8.4023 , 2.8984,0.3146,32304.8145 , 188.4781,72.6830,<LOD,0.0000,0.0000,<LOD,4.2981,0.2194,392.7980 , 27.1723,1.0809,<LOD,1.4423,4.3473,6.5490 , 0.5907,2.8523,<LOD,7.9947,0.2789,7.5773 , 1.0570,0.3168,<LOD,1.3621,0.4834,37.9263 , 1.1697,1.8590,<LOD,0.0000,0.0000,<LOD,4.2564,3.5775,<LOD,0.8493,0.1833,13.0492 , 2.3358,3.0395,294.6301 , 1.8640,16.4444,<LOD,0.0000,0.0000,3.9823 , 0.8315,0.3345,7114.9951 , 56.1685,22.9008,<LOD,2.3556,0.5169,206.7305 , 14.7169,4.0570,<LOD,7.3178,0.1941,17.1613 , 0.7439,2.3788,30.4462 , 2.6199,0.4896,119.7445 , 1.3848,12.5626,139507.7344 , 2846.5571,2.9913,487.3572 , 21.6872,16.6920,40517.6250 , 270.8434,49.3921,<LOD,49.0816,0.7822,9532.3789 , 117.5215,6.1982,55420.9883 , 4799.6382,0.1318,894.2301 , 139.4948,0.2561,1193.9700 , 42.3520,0.6446,325152.4375 , 909.2615,31.2026,6,413.100006,39.001740,-122.661987,10.000000,529268.500000,4317024.000000,
23,Mining,122.75,32.55,30.00,30.11,30.09,"Thu Apr 2, 2026 - 13:55:35",User,1.5,ppm,,,,,,Mining,<LOD,1.4685,0.6245,<LOD,1.5217,0.2492,<LOD,3.2301,0.1044,384549.2812 , 6895.9399,<LOD,1.3750,0.1300,<LOD,2.1650,1.0601,<LOD,55.8579,11.5779,117.1887 , 6.0869,3.1457,15.1574 , 3.0377,0.3552,31763.8652 , 178.9114,72.6893,<LOD,0.0000,0.0000,3.6368 , 1.9999,0.2380,474.7903 , 28.4291,1.2124,<LOD,1.3588,4.4143,5.6716 , 0.5965,2.8845,<LOD,8.0083,0.2933,8.0718 , 1.0583,0.3264,<LOD,1.3467,0.4716,39.3286 , 1.1864,1.9674,<LOD,0.0000,0.0000,<LOD,4.2148,3.4877,<LOD,0.8586,0.1884,15.2354 , 2.3350,3.0459,287.2925 , 1.7971,16.3477,<LOD,0.0000,0.0000,4.5631 , 0.8025,0.3324,6568.9355 , 51.7082,21.4682,2.7676 , 1.0463,0.5508,195.1690 , 13.8101,3.8351,<LOD,7.4031,0.2038,21.2885 , 0.7774,2.6767,59.2127 , 3.0932,0.7008,119.2017 , 1.3627,12.6827,138780.7500 , 2563.7466,2.9770,485.8648 , 21.5833,16.6551,39270.7266 , 256.7464,48.4742,<LOD,43.0125,0.7415,10110.6572 , 117.2693,6.6089,61753.3867 , 4440.6069,0.1427,843.7242 , 122.6539,0.2456,2118.1255 , 46.0161,0.9616,322386.0938 , 840.8663,31.2704,6,411.600006,39.001724,-122.661995,10.000000,529267.937500,4317022.500000,
24,Mining,123.93,33.73,30.08,30.11,30.01,"Thu Apr 2, 2026 - 13:58:02",User,1.5,ppm,,,,,,Mining,<LOD,2.3099,0.6471,<LOD,0.0508,0.0006,<LOD,0.1586,0.0003,716.5527,,<LOD,0.0885,0.0007,<LOD,3.3865,1.0874,38.0104 , 3.0985,0.0837,211.1343 , 12.1540,3.3140,<LOD,1.3119,0.0386,<LOD,10.1311,0.1707,<LOD,0.0000,0.0000,<LOD,0.4262,0.0043,417.5807 , 24.6145,0.7336,<LOD,0.0043,-0.0000,<LOD,0.0037,-0.0000,11.5866 , 1.8414,0.0707,<LOD,0.0188,0.0000,<LOD,2.0596,0.4587,<LOD,0.0168,0.0000,<LOD,0.0000,0.0000,<LOD,6.5963,3.6124,<LOD,0.0537,0.0006,30.1884 , 3.6851,3.2051,<LOD,0.0032,-0.0000,<LOD,0.0000,0.0000,<LOD,0.0408,-0.0001,10511.4521 , 224.2128,21.9573,<LOD,0.0374,0.0002,289.0810 , 25.6621,3.8377,<LOD,1.7347,0.0144,<LOD,0.0007,-0.0000,<LOD,0.6276,0.0168,<LOD,0.0039,-0.0000,391888.6562 , 2207.6428,3.0545,921.5059 , 493.2098,16.5473,73428.5000 , 1181.3536,49.6252,<LOD,76.9688,0.7705,15125.3740 , 288.0456,6.5970,104626.8047 , 5662.5830,0.1311,1690.5004 , 217.5779,0.2512,3039.2271 , 93.0610,1.0047,397053.9062 , 3451.9900,31.9030,7,416.100006,39.001732,-122.661942,10.000000,529272.250000,4317023.000000,
25,Mining,120.66,30.18,30.22,30.09,28.38,"Thu Apr 2, 2026 - 14:00:27",User,1.5,ppm,,,,,,Mining,<LOD,1.3949,0.6338,<LOD,1.4355,0.2564,<LOD,2.9935,0.1028,381023.0625 , 6802.3057,<LOD,1.3063,0.1346,<LOD,2.1081,1.1413,<LOD,54.0901,12.4932,129.5507 , 6.0361,3.4609,11.5978 , 2.8150,0.3494,32270.5898 , 195.5630,78.9218,<LOD,0.0000,0.0000,2.4669 , 1.8488,0.2327,384.1124 , 25.7140,1.1390,<LOD,0.9993,4.4713,4.5046 , 0.5590,2.9059,<LOD,7.6204,0.2978,7.4134 , 0.9927,0.3294,<LOD,1.2640,0.4665,32.2889 , 1.0644,1.7793,<LOD,0.0000,0.0000,<LOD,4.0620,3.6752,<LOD,0.7937,0.1842,17.5396 , 2.2497,3.1925,281.3611 , 1.7967,17.0842,<LOD,0.0000,0.0000,3.7940 , 0.7492,0.3264,6111.4619 , 50.8259,21.4283,2.4719 , 0.9854,0.5605,168.2680 , 13.0491,3.7849,<LOD,6.8773,0.2014,18.8216 , 0.7151,2.5946,52.3912 , 2.8540,0.6829,104.3858 , 1.2688,12.3383,147783.0156 , 2673.2476,3.1675,421.8774 , 20.5017,16.6241,39681.6289 , 268.5972,52.3584,<LOD,46.0946,0.7857,8936.4014 , 109.7607,6.2704,64365.9688 , 4711.1812,0.1496,879.3068 , 132.8573,0.2649,3427.3909 , 59.9602,1.5038,313878.3125 , 928.6573,32.2577,7,416.200012,39.001720,-122.661980,10.000000,529268.937500,4317022.000000,
26,Mining,120.62,30.16,30.28,30.09,28.89,"Thu Apr 2, 2026 - 14:03:41",User,1.5,ppm,,,,,,Mining,<LOD,1.1993,0.7988,<LOD,1.4164,0.4235,<LOD,3.3476,0.2014,433766.5938 , 4189.8374,<LOD,1.2132,0.1809,<LOD,1.8608,1.5320,<LOD,42.6735,11.1157,95.8806 , 4.3696,3.3775,<LOD,3.3920,0.3452,22918.8516 , 115.4149,68.8158,<LOD,0.0000,0.0000,164.1483 , 4.1708,2.1965,<LOD,22.4466,0.5262,<LOD,0.9153,5.8378,5.2444 , 0.5089,3.7179,<LOD,5.9848,0.2908,7.7842 , 0.9131,0.4361,<LOD,1.0926,0.5939,53.0135 , 1.1765,3.4572,<LOD,0.0000,0.0000,<LOD,3.5350,4.7928,<LOD,0.7584,0.2517,7.0762 , 1.9174,3.9270,113.2020 , 0.9115,9.4867,<LOD,0.0000,0.0000,4.3411 , 0.6938,0.4399,7313.5913 , 42.0136,31.1066,3.4591 , 1.0781,0.9958,163.3910 , 10.9296,5.1344,<LOD,0.0000,0.2161,7.3023 , 0.5847,2.6580,<LOD,4.1431,0.4349,121.9417 , 1.0853,15.2730,174011.3281 , 1851.4353,3.7130,390.8255 , 17.5798,21.2206,5695.2876 , 79.5889,9.0455,<LOD,40.2508,0.8453,9499.4961 , 91.8231,7.2903,10827.2979 , 2582.3635,0.0659,561.0107 , 104.2603,0.2149,22013.0918 , 127.7568,9.3625,312255.8750 , 736.0430,36.4419,5,414.899994,39.001713,-122.661919,10.000000,529274.250000,4317021.000000,
27,Mining,122.76,32.59,30.06,30.06,30.05,"Thu Apr 2, 2026 - 14:06:23",User,1.5,ppm,,,,,,Mining,<LOD,1.3442,0.7066,<LOD,1.5909,0.3894,<LOD,3.7009,0.1770,434705.9375 , 4746.5972,<LOD,1.3400,0.1591,<LOD,2.1276,1.4120,<LOD,48.6932,10.8281,91.4356 , 5.0500,3.0194,4.7601 , 2.6312,0.3399,27010.9062 , 126.0908,68.5837,<LOD,0.0000,0.0000,174.5437 , 4.5972,1.9353,<LOD,24.5613,0.4733,<LOD,1.0064,5.0313,4.0227 , 0.5502,3.0818,<LOD,6.9412,0.2843,8.4217 , 1.0177,0.3900,<LOD,1.2690,0.5684,52.6734 , 1.2666,2.8738,<LOD,0.0000,0.0000,<LOD,4.0566,4.4338,<LOD,0.8701,0.2444,10.5011 , 2.2162,3.7263,117.4945 , 0.9879,8.1599,<LOD,0.0000,0.0000,4.4384 , 0.7605,0.3766,6888.8809 , 44.5058,25.0042,4.1309 , 1.1918,0.8747,155.3196 , 12.1539,4.1921,<LOD,0.0000,0.2137,8.5749 , 0.6456,2.3341,<LOD,4.2182,0.3885,124.9459 , 1.1687,12.9858,154217.4688 , 1980.8098,3.2985,483.5393 , 20.4378,20.4192,7866.0708 , 102.8150,10.5075,<LOD,44.6175,0.9103,8922.2080 , 100.0920,5.9284,8550.5186 , 2694.0496,0.0600,690.5864 , 109.5254,0.2111,25680.5137 , 135.3369,9.3060,324222.0938 , 701.5114,32.7377,6,416.000000,39.001747,-122.661995,10.000000,529268.062500,4317025.000000,
28,Mining,122.99,32.72,30.02,30.13,30.12,"Thu Apr 2, 2026 - 14:08:56",User,1.5,ppm,,,,,,Mining,<LOD,1.2777,0.8056,<LOD,1.5156,0.4186,<LOD,3.5259,0.1932,428566.3125 , 4412.7222,<LOD,1.3050,0.1815,<LOD,1.9510,1.4903,<LOD,43.8180,10.1055,93.9337 , 4.7216,3.3075,5.3819 , 2.5152,0.3721,22545.5234 , 115.2675,63.0783,<LOD,0.0000,0.0000,177.6886 , 4.4849,2.2025,<LOD,24.1548,0.5262,<LOD,0.9417,5.5477,5.9060 , 0.5225,3.5556,<LOD,6.3748,0.2981,8.9506 , 0.9809,0.4363,<LOD,1.1540,0.5878,59.6550 , 1.2719,3.5464,<LOD,0.0000,0.0000,<LOD,3.7127,4.6741,<LOD,0.8230,0.2619,9.0395 , 2.0248,3.8911,110.1662 , 0.9303,8.6634,<LOD,0.0000,0.0000,3.6064 , 0.7301,0.4122,7053.0762 , 42.9579,28.0216,<LOD,2.5743,0.9244,162.9537 , 11.4565,4.6979,<LOD,0.0000,0.2174,9.6078 , 0.6397,2.7616,4.5218 , 1.9780,0.4436,123.5820 , 1.1253,14.3647,169313.2344 , 1882.2018,3.6186,396.3269 , 18.4501,20.6096,7433.4121 , 94.2781,10.8601,<LOD,40.6673,0.8347,9712.1172 , 97.6234,6.9968,7899.6030 , 2591.5945,0.0638,652.2104 , 110.3247,0.2370,29995.6719 , 147.5926,11.9265,315657.5000 , 713.8162,34.9662,5,417.500000,39.001698,-122.661888,10.000000,529276.750000,4317019.500000,
29,Mining,120.37,30.07,30.24,30.02,27.04,"Thu Apr 2, 2026 - 14:19:11",User,1.5,ppm,,,,,,Mining,<LOD,1.3156,0.6515,<LOD,1.3608,0.2574,<LOD,2.8335,0.1063,397573.4688 , 6009.4380,<LOD,1.3211,0.1594,<LOD,2.0535,1.2670,<LOD,50.7353,12.4944,119.5765 , 5.9372,3.6029,7.2909 , 2.5961,0.3433,30418.2148 , 176.5606,79.0285,<LOD,0.0000,0.0000,<LOD,3.7157,0.2417,350.1320 , 24.1654,1.1419,<LOD,0.9573,4.7512,4.4741 , 0.5382,3.1253,<LOD,6.9935,0.2840,7.8099 , 0.9626,0.3584,<LOD,1.2346,0.5172,31.7803 , 1.0221,1.8975,<LOD,0.0000,0.0000,<LOD,3.8598,3.8351,<LOD,0.7835,0.2117,12.7091 , 2.1235,3.2719,284.3932 , 1.7175,18.5075,<LOD,0.0000,0.0000,3.0177 , 0.7343,0.3513,6966.7759 , 53.3491,25.9065,3.2698 , 0.9576,0.6168,197.9153 , 13.7032,4.5652,<LOD,6.6894,0.2207,18.3631 , 0.6833,2.7480,53.9623 , 2.7574,0.7367,111.0009 , 1.2449,13.7908,150035.9531 , 2452.2620,3.2183,392.9366 , 19.3968,17.2105,38177.9805 , 256.0306,53.3614,<LOD,45.6636,0.8365,10219.2070 , 115.1047,7.5247,51657.1680 , 4273.4976,0.1295,1038.0425 , 136.1970,0.3048,2902.5874 , 55.4275,1.3883,309411.9688 , 896.9434,33.6274,6,423.200012,39.001797,-122.662025,10.000000,529265.312500,4317030.500000,
30,Mining,120.28,30.00,30.06,30.15,30.07,"Thu Apr 2, 2026 - 14:21:50",User,1.5,ppm,,,,,,Mining,<LOD,1.3613,0.6701,<LOD,1.3971,0.2774,<LOD,2.9621,0.1133,397894.0625 , 5993.5601,<LOD,1.2013,0.1283,<LOD,2.0398,1.1871,<LOD,49.9348,11.6786,115.0181 , 5.6206,3.3494,11.3505 , 2.6835,0.3577,29266.9609 , 166.4836,73.6145,<LOD,0.0000,0.0000,<LOD,4.0998,0.2410,409.9503 , 25.1792,1.1975,<LOD,0.9631,4.7232,5.3118 , 0.5426,3.1148,<LOD,6.8731,0.2681,7.2655 , 0.9570,0.3447,<LOD,1.1690,0.4386,34.9034 , 1.0504,1.9793,<LOD,0.0000,0.0000,<LOD,3.8880,3.7179,<LOD,0.8231,0.2293,13.6081 , 2.1461,3.2014,275.7697 , 1.6592,17.4793,<LOD,0.0000,0.0000,5.2513 , 0.7238,0.3607,6407.7192 , 48.8765,23.0201,2.9141 , 0.9496,0.5914,169.9471 , 12.6431,4.0073,<LOD,6.6397,0.2120,17.7717 , 0.6819,2.6694,47.0844 , 2.6551,0.6662,108.7998 , 1.2235,13.1744,150753.1719 , 2440.0830,3.2311,397.9644 , 19.5573,16.8025,39806.0195 , 252.0424,53.9057,<LOD,44.6198,0.8177,9643.6494 , 108.1107,6.9065,49189.1055 , 4138.8730,0.1249,997.7482 , 133.8775,0.2997,2207.5010 , 48.5883,1.0882,312211.1250 , 864.5435,32.9367,7,423.799988,39.001755,-122.661957,10.000000,529271.375000,4317025.500000,
31,Mining,120.68,30.29,30.17,30.12,29.20,"Thu Apr 2, 2026 - 14:24:22",User,1.5,ppm,,,,,,Mining,<LOD,1.3747,0.6700,<LOD,1.3968,0.2790,<LOD,2.9171,0.1083,407947.2812 , 6017.4668,<LOD,1.2546,0.1375,<LOD,2.0957,1.2368,<LOD,50.1592,11.5851,125.6239 , 5.8408,3.4437,16.3617 , 2.8095,0.3855,29373.6855 , 164.6159,73.2613,<LOD,0.0000,0.0000,2.9650 , 1.7577,0.2369,344.1889 , 24.2540,1.0916,<LOD,0.9675,4.6765,5.0103 , 0.5437,3.0700,<LOD,6.8778,0.2622,6.1707 , 0.9395,0.3265,<LOD,1.2110,0.4636,36.3350 , 1.0651,2.0133,<LOD,0.0000,0.0000,<LOD,3.9395,3.7411,<LOD,0.7687,0.1918,16.8408 , 2.1893,3.2826,278.1748 , 1.6628,17.4830,<LOD,0.0000,0.0000,6.0981 , 0.7567,0.3880,6557.0034 , 50.0420,23.3638,1.7253 , 0.9439,0.5711,182.0848 , 13.1228,4.1042,<LOD,6.2504,0.1838,17.8469 , 0.6885,2.6746,52.2121 , 2.7459,0.7006,111.3131 , 1.2382,13.3005,145875.7812 , 2442.7668,3.1296,391.5531 , 19.7705,16.7890,38654.1680 , 249.6696,51.8311,<LOD,45.4186,0.8241,9922.0635 , 111.8259,7.0304,47353.6797 , 4158.0283,0.1216,1109.7063 , 136.6909,0.3072,2828.4517 , 53.9424,1.3108,308783.6562 , 856.1363,32.1625,6,422.799988,39.001755,-122.661957,10.000000,529271.250000,4317025.500000,
32,Mining,120.52,30.16,30.26,30.07,28.53,"Thu Apr 2, 2026 - 14:27:03",User,1.5,ppm,,,,,,Mining,<LOD,1.3798,0.6431,<LOD,1.4061,0.2529,<LOD,3.0768,0.1110,408459.4375 , 6233.1899,<LOD,1.3175,0.1397,<LOD,2.0769,1.1494,<LOD,54.9121,13.3406,137.0880 , 6.1577,3.5648,8.0887 , 2.7081,0.3303,34124.8164 , 187.2751,84.3289,<LOD,0.0000,0.0000,<LOD,3.6658,0.2233,402.9626 , 25.9227,1.2008,<LOD,0.9866,4.4437,4.3889 , 0.5536,2.9143,<LOD,7.3442,0.2612,6.4193 , 0.9671,0.3184,<LOD,1.2336,0.4598,31.5332 , 1.0432,1.7504,<LOD,0.0000,0.0000,<LOD,3.9805,3.6481,<LOD,0.8069,0.1940,14.1608 , 2.1935,3.1241,279.3791 , 1.7141,17.0066,<LOD,0.0000,0.0000,3.0849 , 0.7396,0.3168,6267.2256 , 50.3477,22.1905,2.2022 , 0.9695,0.5559,169.8810 , 13.3258,3.8948,<LOD,6.6066,0.1898,15.3769 , 0.6789,2.3866,39.6957 , 2.6224,0.5897,104.2806 , 1.2423,12.3555,147432.1875 , 2594.4072,3.1607,390.5545 , 19.9286,16.1949,40758.4922 , 264.1463,54.4912,<LOD,46.3155,0.7675,8186.7085 , 105.8629,5.8655,41885.7227 , 4311.9971,0.1127,904.3147 , 139.6813,0.2820,4153.3569 , 66.3184,1.7927,306218.6562 , 878.7275,31.6958,7,420.799988,39.001774,-122.662010,10.000000,529266.312500,4317028.000000,
